product_name,quantity,nutrition-score-fr_100g,nutriscore_score,nutriscore_grade,brands,origins,ingredients_text,countries,labels,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,additives,vitamin-c_100g,nova_group,pnns_groups_1,pnns_groups_2
Nectar d'orange à base de jus concentré Teneur en fruits : 55 % minimum,2 l,10.0,10.0,e,Casino,0,"Jus d'orange à base de jus d'orange concentré 55% (dont 1,5% de pulpe) - eau - sucre - concentré de jus de citron - antioxydant : acide ascorbique",France,"Point Vert, Sans colorants, Sans conservateurs, Eco-Emballages, Elaboré en France, Teneur en fruits 55 % minimum",40.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,3.0,Beverages,Sweetened beverages
Nectar orange pêche abricot à base de jus et de purées de fruits concentrés Teneur en fruits : 51% minimum,1 l,13.0,13.0,e,Casino,0,Jus et purées de fruits à base de concentrés 51% (orange 30% - pêche 13% - abricot 8%) - eau - sucre - antioxydant : acide ascorbique.,France,0,48.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,3.0,Beverages,Sweetened beverages
100% pur jus clémentine raisin blanc orange,1 l,7.0,7.0,d,Casino,0,"Jus de clémentine, jus de raisin blanc, jus d'orange.",France,"Point Vert, Aucun",52.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,1.0,Beverages,Fruit juices
100% pur jus d'orange Bio,6 x 20 cl,4.0,4.0,c,Casino,0,Jus d'orange*. *issu de l'agriculture biologique.,France,"Bio, Bio européen, AB Agriculture Biologique, Agriculture UE/Non UE, FR-BIO-01 ",47.0,0.0,0.0,11.0,10.0,0.012,0.0,0.0,1.0,Beverages,Fruit juices
100% Pur jus orange,1 l,-1.0,-1.0,b,"Casino, Casino BIO",Agriculture UE/non UE,Jus d'orange*. *issu de l'agriculture Biologique,France,"Bio, Bio européen, en:FSC, Agriculture UE/Non UE, FR-BIO-01, Pur jus, AB Agriculture Biologique ",46.0,0.1,0.1,11.0,10.0,0.0,0.0,0.023,1.0,Beverages,Fruit juices
100% Pur jus orange,4 x 20cl,4.0,4.0,c,Casino,0,Jus d'orange,France,0,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.02,1.0,Beverages,Fruit juices
Boisson aux jus de fruits à base de concentrés orange,0,13.0,13.0,e,"Casino,Les Doodingues",0,S. Eau - sucre - jus d'orange à base de concentré 6% - jus de citron à base de concentré mandarine à base de concentré jus d'acérola concentré d'orange. jus de base de naturel à - arôme,France,0,40.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,4.0,Beverages,Sweetened beverages
Pur jus d'orange pulpé 3%,1.5 l,2.0,2.0,c,Casino,0,Jus d'orange - pulpe 3%.,France,0,38.0,0.0,0.0,8.7,8.7,0.0,0.0,0.0,1.0,Beverages,Fruit juices
Jus d'orange à base de jus concentré,6 * 20 cl,2.0,2.0,c,Grand Jury,0,Jus d'orange à base de concentrés,France,0,39.0,0.5,0.0,8.9,8.2,0.012,0.0,0.0,1.0,Beverages,Fruit juices
Pur jus d'orange,1 L,2.0,2.0,c,Grand Jury,0,Jus d'orange,France,0,41.0,0.5,0.0,9.4,8.7,0.004,0.0,0.0,1.0,Beverages,Fruit juices
Pur jus d'orange,0,2.0,2.0,c,Helior,0,Jus d'orange. Utilisation :,France,0,40.0,0.2,0.0,8.7,8.7,0.004,0.0,0.0,1.0,Beverages,Fruit juices
Premium 100% jus d'orange sanguine,1 L,4.0,4.0,c,Monoprix,0,jus d'orange sanguine,France,"Sans colorants, Sans conservateurs",45.0,0.0,0.0,10.5,10.5,0.0,0.0,0.045,1.0,Beverages,Fruit juices
